step,reward,loss,rev_kl,grad_norm,off_pol,tps
426,0.4873,-3.7952,0.3964,15.266,0.0425,267
427,0.4865,-3.6128,0.3633,14.648,0.0046,290
428,0.4891,-4.8567,0.4953,17.078,0.0033,351
429,0.4784,-6.0624,0.6094,21.328,0.0042,318
430,0.4871,-4.4905,0.4647,14.875,0.0134,322
431,0.4936,-4.6604,0.5117,18.023,0.0145,230
432,0.5128,-6.0946,0.6503,20.977,0.0126,347
433,0.4938,-4.7707,0.4897,15.891,0.007,310
434,0.4767,-5.9718,0.6204,21.453,0.0205,209
435,0.4905,-4.2021,0.4295,15.945,0.0371,266
436,0.5009,-5.7034,0.6051,19.008,0.0057,437
437,0.5151,-6.4473,0.6516,23.938,0.003,284
438,0.4873,-6.8892,0.7034,22.75,0.0592,296
439,0.4982,-4.2824,0.4554,16.336,0.0015,354
440,0.4831,-5.1352,0.5694,20.82,0.0284,326
441,0.4891,-6.2022,0.6549,22.062,0.0027,260
442,0.5111,-5.4319,0.5581,18.023,0.005,333
443,0.4934,-5.1283,0.5111,21.234,0.0168,281
444,0.4964,-4.9945,0.5193,18.828,0.0108,355
445,0.4975,-4.5246,0.4609,17.859,0.0302,332
446,0.4781,-5.2056,0.5869,18.055,0.0039,340
447,0.5169,-5.2947,0.5559,18.148,0.0067,539
448,0.4813,-5.3215,0.5289,17.953,0.0039,276
449,0.4787,-4.342,0.434,16.367,0.0139,259
450,0.4883,-5.8582,0.5937,19.188,0.0072,378
451,0.4982,-6.0763,0.6278,20.797,0.0075,454
452,0.4988,-4.3242,0.4661,15.648,0.0062,429
453,0.4614,-5.0913,0.5167,19.25,0.0102,253
454,0.4987,-5.2041,0.5389,17.07,0.0095,346
455,0.4751,-5.1204,0.5172,18.023,0.0103,357
456,0.4357,-7.046,0.7406,23.562,0.0033,264
457,0.5263,-6.2664,0.6588,23.406,0.018,285
458,0.4897,-4.7083,0.4796,16.844,0.0414,368
459,0.4999,-3.8203,0.3804,14.82,0.0045,343
460,0.4686,-5.4824,0.5627,18.688,0.0035,328
461,0.4798,-6.2625,0.6495,20.727,0.0271,265
462,0.4955,-6.1105,0.6204,19.031,0.0306,324
463,0.4975,-4.7385,0.4851,18.492,0.0054,320
464,0.5056,-4.7782,0.4883,20.25,0.0112,261
465,0.4972,-6.7445,0.6497,20.773,0.0276,412
466,0.5068,-5.0762,0.524,18.453,0.007,298
467,0.4937,-5.355,0.5429,20.859,0.0015,456
468,0.4933,-6.903,0.6968,21.031,0.0018,447
469,0.4682,-5.2743,0.5163,18.633,0.0016,277
470,0.5034,-5.4016,0.567,19.828,0.0054,407
471,0.4991,-6.0021,0.5975,21.641,0.003,355
472,0.54,-5.974,0.6108,21.219,0.0034,281
473,0.4929,-5.0398,0.5115,19.133,0.0092,438
474,0.5019,-5.2085,0.5207,18.062,0.0038,288
475,0.4766,-4.9545,0.4952,16.93,0.0103,379
476,0.4811,-6.4675,0.672,22.688,0.0167,370
477,0.4918,-4.9632,0.5067,17.992,0.0128,263
478,0.4896,-5.433,0.562,18.086,0.0046,324
479,0.5352,-3.7097,0.3766,13.492,0.001,555
480,0.4756,-8.1707,0.8577,28.312,0.0014,323
481,0.5029,-4.7089,0.5121,18.055,0.0015,310
482,0.4997,-4.0967,0.427,16.375,0.0038,322
483,0.4981,-4.6196,0.4602,15.914,0.0029,341
484,0.4733,-6.3383,0.6407,20.922,0.001,254
485,0.4946,-5.6127,0.5747,19.023,0.0021,268
486,0.5119,-4.9492,0.4954,18.867,0.0063,297
487,0.4991,-6.5557,0.6426,19.266,0.0016,371
